time(s)	cellId	rnti	lcid	packetSize
0.411	1	7	3	111
0.411	1	6	3	111
0.411	1	5	3	228
0.411	1	4	3	228
0.411	1	3	3	228
0.411	1	2	3	228
0.411	1	1	3	228
0.411	3	22	3	111
0.411	3	21	3	111
0.411	3	20	3	111
0.411	3	19	3	111
0.411	3	18	3	111
0.411	3	12	3	111
0.411	3	11	3	111
0.411	3	10	3	111
0.411	3	9	3	111
0.411	3	8	3	111
0.411	3	7	3	111
0.412	1	7	3	111
0.412	1	6	3	111
0.412	1	5	3	228
0.412	1	4	3	228
0.412	1	3	3	228
0.412	1	2	3	228
0.412	1	1	3	228
0.412	3	22	3	111
0.412	3	21	3	111
0.412	3	20	3	111
0.412	3	19	3	111
0.412	3	18	3	111
0.412	3	12	3	111
0.412	3	11	3	111
0.412	3	10	3	111
0.412	3	9	3	111
0.412	3	8	3	111
0.412	3	7	3	111
0.413	1	7	3	111
0.413	1	6	3	111
0.413	1	5	3	111
0.413	1	4	3	228
0.413	1	3	3	228
0.413	1	2	3	228
0.413	1	1	3	228
0.413	3	22	3	111
0.413	3	21	3	111
0.413	3	20	3	111
0.413	3	19	3	111
0.413	3	18	3	111
0.413	3	12	3	111
0.413	3	11	3	111
0.413	3	10	3	111
0.413	3	9	3	111
0.413	3	8	3	111
0.413	3	7	3	111
0.413	3	6	3	111
0.414	1	7	3	111
0.414	1	6	3	111
0.414	1	5	3	228
0.414	1	4	3	228
0.414	1	3	3	228
0.414	1	2	3	228
0.414	1	1	3	228
0.414	3	22	3	111
0.414	3	21	3	111
0.414	3	20	3	111
0.414	3	19	3	111
0.414	3	18	3	111
0.414	3	12	3	111
0.414	3	11	3	111
0.414	3	10	3	111
0.414	3	9	3	111
0.414	3	8	3	111
0.414	3	7	3	111
0.414	3	6	3	111
0.415	1	7	3	111
0.415	1	6	3	111
0.415	1	5	3	228
0.415	1	4	3	228
0.415	1	3	3	228
0.415	1	2	3	228
0.415	1	1	3	228
0.415	3	22	3	111
0.415	3	21	3	111
0.415	3	20	3	111
0.415	3	19	3	111
0.415	3	18	3	111
0.415	3	12	3	111
0.415	3	11	3	111
0.415	3	10	3	111
0.415	3	9	3	111
0.415	3	8	3	111
0.415	3	7	3	111
0.415	3	6	3	111
0.416	1	7	3	111
0.416	1	6	3	111
0.416	1	5	3	228
0.416	1	4	3	228
0.416	1	3	3	228
0.416	1	2	3	228
0.416	1	1	3	228
0.416	3	22	3	111
0.416	3	21	3	111
0.416	3	20	3	111
0.416	3	19	3	111
0.416	3	18	3	111
0.416	3	12	3	111
0.416	3	11	3	111
0.416	3	10	3	111
0.416	3	9	3	111
0.416	3	8	3	111
0.416	3	7	3	111
0.416	3	6	3	111
0.417	1	7	3	1401
0.417	1	6	3	4027
0.417	1	5	3	3939
0.417	1	4	3	8057
0.417	1	3	3	8057
0.417	1	2	3	8057
0.417	1	1	3	4815
0.417	3	22	3	155
0.417	3	21	3	4027
0.417	3	20	3	4027
0.417	3	19	3	873
0.417	3	18	3	4027
0.417	3	12	3	4027
0.417	3	11	3	2846
0.417	3	10	3	4027
0.417	3	9	3	1401
0.417	3	8	3	3722
0.417	3	7	3	4027
0.417	3	6	3	111
0.418	1	7	3	4203
0.418	1	6	3	7574
0.418	1	5	3	3939
0.418	1	4	3	2842
0.418	1	3	3	2842
0.418	1	2	3	2842
0.418	1	1	3	4815
0.418	3	22	3	111
0.418	3	21	3	4027
0.418	3	20	3	4027
0.418	3	19	3	1078
0.418	3	18	3	4027
0.418	3	12	3	4027
0.418	3	11	3	2846
0.418	3	10	3	4027
0.418	3	9	3	1749
0.418	3	8	3	3722
0.418	3	7	3	4027
0.418	3	6	3	111
0.419	1	7	3	4203
0.419	1	6	3	1532
0.419	1	5	3	4672
0.419	1	4	3	1532
0.419	1	3	3	1532
0.419	1	2	3	1532
0.419	1	1	3	2803
0.419	3	22	3	155
0.419	3	21	3	4027
0.419	3	20	3	4027
0.419	3	19	3	1078
0.419	3	18	3	4027
0.419	3	12	3	4027
0.419	3	11	3	2846
0.419	3	10	3	4027
0.419	3	9	3	1749
0.419	3	8	3	3722
0.419	3	7	3	4027
0.42	1	7	3	4862
0.42	1	6	3	1532
0.42	1	5	3	1532
0.42	1	4	3	1532
0.42	1	3	3	1532
0.42	1	2	3	1532
0.42	1	1	3	1532
0.42	3	22	3	155
0.42	3	21	3	2588
0.42	3	20	3	2588
0.42	3	19	3	1078
0.42	3	18	3	2588
0.42	3	12	3	2588
0.42	3	11	3	2846
0.42	3	10	3	2588
0.42	3	9	3	1749
0.42	3	8	3	3502
0.42	3	7	3	2588
0.42	3	6	3	433
0.421	1	7	3	1532
0.421	1	6	3	1532
0.421	1	5	3	1532
0.421	1	4	3	1532
0.421	1	3	3	1532
0.421	1	2	3	1532
0.421	1	1	3	1532
0.421	3	22	3	155
0.421	3	21	3	1532
0.421	3	20	3	1532
0.421	3	19	3	1078
0.421	3	18	3	1532
0.421	3	12	3	1532
0.421	3	11	3	2846
0.421	3	10	3	1532
0.421	3	9	3	1749
0.421	3	8	3	1532
0.421	3	7	3	1532
0.421	3	6	3	433
0.422	1	7	3	1532
0.422	1	6	3	1532
0.422	1	5	3	1532
0.422	1	4	3	1532
0.422	1	3	3	1532
0.422	1	2	3	1532
0.422	1	1	3	1532
0.422	3	22	3	155
0.422	3	21	3	1532
0.422	3	20	3	1532
0.422	3	19	3	1078
0.422	3	18	3	1532
0.422	3	12	3	1532
0.422	3	11	3	2846
0.422	3	10	3	1532
0.422	3	9	3	1749
0.422	3	8	3	1532
0.422	3	7	3	1532
0.422	3	6	3	433
0.423	1	7	3	1532
0.423	1	6	3	1532
0.423	1	5	3	1532
0.423	1	4	3	1532
0.423	1	3	3	1532
0.423	1	2	3	1532
0.423	1	1	3	1532
0.423	3	22	3	155
0.423	3	21	3	1532
0.423	3	20	3	1532
0.423	3	19	3	1078
0.423	3	18	3	1532
0.423	3	12	3	1532
0.423	3	11	3	2193
0.423	3	10	3	1532
0.423	3	9	3	1749
0.423	3	8	3	1532
0.423	3	7	3	1532
0.423	3	6	3	433
0.424	1	7	3	1532
0.424	1	6	3	1532
0.424	1	5	3	1532
0.424	1	4	3	1532
0.424	1	3	3	1532
0.424	1	2	3	1532
0.424	1	1	3	1532
0.424	3	22	3	155
0.424	3	21	3	1532
0.424	3	20	3	1532
0.424	3	19	3	1078
0.424	3	18	3	1532
0.424	3	12	3	1532
0.424	3	11	3	1532
0.424	3	10	3	1532
0.424	3	9	3	1749
0.424	3	8	3	1532
0.424	3	7	3	1532
0.425	1	7	3	1532
0.425	1	6	3	1532
0.425	1	5	3	1532
0.425	1	4	3	1532
0.425	1	3	3	1532
0.425	1	2	3	1532
0.425	1	1	3	1532
0.425	3	22	3	155
0.425	3	21	3	1532
0.425	3	20	3	1532
0.425	3	19	3	1078
0.425	3	18	3	1532
0.425	3	12	3	1532
0.425	3	11	3	1532
0.425	3	10	3	1532
0.425	3	9	3	1749
0.425	3	8	3	1532
0.425	3	7	3	1532
0.425	3	6	3	433
0.426	1	7	3	1532
0.426	1	6	3	1532
0.426	1	5	3	1532
0.426	1	4	3	1532
0.426	1	3	3	1532
0.426	1	2	3	1532
0.426	1	1	3	1532
0.426	3	22	3	155
0.426	3	21	3	1532
0.426	3	20	3	1532
0.426	3	19	3	1078
0.426	3	18	3	1532
0.426	3	12	3	1532
0.426	3	11	3	1532
0.426	3	10	3	1532
0.426	3	9	3	1749
0.426	3	8	3	1532
0.426	3	7	3	1532
0.426	3	6	3	3722
0.427	1	7	3	1532
0.427	1	6	3	1532
0.427	1	5	3	1532
0.427	1	4	3	1532
0.427	1	3	3	1532
0.427	1	2	3	1532
0.427	1	1	3	1532
0.428	1	7	3	1532
0.428	1	6	3	1532
0.428	1	5	3	1532
0.428	1	4	3	1532
0.428	1	3	3	1532
0.428	1	2	3	1532
0.428	1	1	3	1532
0.429	1	7	3	1532
0.429	1	6	3	1532
0.429	1	5	3	1532
0.429	1	4	3	1532
0.429	1	3	3	1532
0.429	1	2	3	1532
0.429	1	1	3	1532
0.43	1	7	3	1532
0.43	1	6	3	1532
0.43	1	5	3	1532
0.43	1	4	3	1532
0.43	1	3	3	1532
0.43	1	2	3	1532
0.43	1	1	3	1532
0.431	1	7	3	1532
0.431	1	6	3	1532
0.431	1	5	3	1532
0.431	1	4	3	1532
0.431	1	3	3	1532
0.431	1	2	3	1532
0.431	1	1	3	1532
0.432	1	7	3	1532
0.432	1	6	3	1532
0.432	1	5	3	1532
0.432	1	4	3	1532
0.432	1	3	3	1532
0.432	1	2	3	1532
0.432	1	1	3	1532
0.432	3	22	3	155
0.432	3	21	3	4027
0.432	3	20	3	4027
0.432	3	19	3	873
0.432	3	18	3	4027
0.432	3	12	3	4027
0.432	3	11	3	2846
0.432	3	10	3	4027
0.432	3	9	3	1749
0.432	3	8	3	4027
0.432	3	7	3	4027
0.432	3	6	3	3722
0.433	1	7	3	1532
0.433	1	6	3	1532
0.433	1	5	3	1532
0.433	1	4	3	1532
0.433	1	3	3	1532
0.433	1	2	3	1532
0.433	1	1	3	1532
0.433	3	22	3	155
0.433	3	21	3	4027
0.433	3	20	3	4027
0.433	3	19	3	1969
0.433	3	18	3	4027
0.433	3	12	3	4027
0.433	3	11	3	2846
0.433	3	10	3	4027
0.433	3	9	3	1749
0.433	3	8	3	4027
0.433	3	7	3	4027
0.434	1	7	3	1532
0.434	1	6	3	1532
0.434	1	5	3	1532
0.434	1	4	3	1532
0.434	1	3	3	1532
0.434	1	2	3	1532
0.434	1	1	3	1532
0.434	3	22	3	155
0.434	3	21	3	4027
0.434	3	20	3	4027
0.434	3	19	3	1969
0.434	3	18	3	4027
0.434	3	12	3	4027
0.434	3	11	3	4027
0.434	3	10	3	4027
0.434	3	9	3	1749
0.434	3	8	3	4027
0.434	3	7	3	4027
0.434	3	6	3	3722
0.435	1	7	3	1532
0.435	1	6	3	1532
0.435	1	5	3	1532
0.435	1	4	3	1532
0.435	1	3	3	1532
0.435	1	2	3	1532
0.435	1	1	3	1532
0.435	3	22	3	155
0.435	3	21	3	1710
0.435	3	20	3	1710
0.435	3	19	3	1969
0.435	3	18	3	1710
0.435	3	12	3	1710
0.435	3	11	3	4027
0.435	3	10	3	1710
0.435	3	9	3	1749
0.435	3	8	3	1710
0.435	3	7	3	1710
0.435	3	6	3	3722
0.436	1	7	3	1532
0.436	1	6	3	1532
0.436	1	5	3	1532
0.436	1	4	3	1532
0.436	1	3	3	1532
0.436	1	2	3	1532
0.436	1	1	3	1532
0.436	3	22	3	155
0.436	3	21	3	1532
0.436	3	20	3	1532
0.436	3	19	3	1401
0.436	3	18	3	1532
0.436	3	12	3	1532
0.436	3	11	3	1579
0.436	3	10	3	1532
0.436	3	9	3	1749
0.436	3	8	3	1532
0.436	3	7	3	1532
0.436	3	6	3	3722
0.437	1	7	3	1532
0.437	1	6	3	1532
0.437	1	5	3	1532
0.437	1	4	3	1532
0.437	1	3	3	1532
0.437	1	2	3	1532
0.437	1	1	3	1532
0.438	1	7	3	1532
0.438	1	6	3	1532
0.438	1	5	3	1532
0.438	1	4	3	1532
0.438	1	3	3	1532
0.438	1	2	3	1532
0.438	1	1	3	1532
0.441	1	7	3	1078
0.441	1	6	3	4027
0.441	1	5	3	3939
0.441	1	4	3	4595
