Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.413143	DL	41	3	0	1	1	1	0	7	114	0	1	0	8.6318	8	0	0
0.413143	DL	41	3	0	1	1	3	0	22	114	0	1	0	-4.23221	2	0	0
0.413214	DL	41	3	0	2	1	1	0	6	114	0	1	0	24.6697	15	0	0
0.413214	DL	41	3	0	2	1	3	0	21	114	0	1	0	40.5112	15	0	0
0.413286	DL	41	3	0	3	1	3	0	20	114	0	1	0	32.5305	15	0	0
0.413357	DL	41	3	0	3	2	1	0	5	231	0	1	0	14.8675	10	0	0
0.413357	DL	41	3	0	4	1	3	0	19	114	0	1	0	5.90642	6	0	0
0.413429	DL	41	3	0	5	1	3	0	18	114	0	1	0	54.068	15	0	0
0.4135	DL	41	3	0	5	2	1	0	4	231	0	1	0	49.4904	15	0	0
0.4135	DL	41	3	0	6	1	3	0	12	114	0	1	0	31.2384	15	0	0
0.413571	DL	41	3	0	7	1	3	0	11	114	0	1	0	16.1825	12	0	0
0.413643	DL	41	3	0	7	2	1	0	3	231	0	1	0	30.3143	15	0	0
0.413643	DL	41	3	0	8	1	3	0	10	114	0	1	0	27.9797	15	0	0
0.413714	DL	41	3	0	9	1	3	0	9	114	0	1	0	8.37478	8	0	0
0.413786	DL	41	3	0	9	2	1	0	2	231	0	1	0	51.9755	15	0	0
0.413786	DL	41	3	0	10	1	3	0	8	114	0	1	0	24.4712	14	0	0
0.413857	DL	41	3	0	11	1	3	0	7	114	0	1	0	48.5712	15	0	0
0.413929	DL	41	3	0	11	2	1	0	1	231	0	1	0	14.1822	11	0	0
0.414143	DL	41	4	0	1	1	1	0	7	114	0	1	0	8.70921	8	0	0
0.414143	DL	41	4	0	1	1	3	0	22	114	0	1	0	-5.55311	1	0	6.35284e-07
0.414214	DL	41	4	0	2	1	1	0	6	114	0	1	0	25.017	15	0	0
0.414214	DL	41	4	0	2	1	3	0	21	114	0	1	0	40.7497	15	0	0
0.414286	DL	41	4	0	3	1	3	0	20	114	0	1	0	32.8679	15	0	0
0.414357	DL	41	4	0	3	2	1	0	5	231	0	1	0	14.5679	10	0	0
0.414357	DL	41	4	0	4	1	3	0	19	114	0	1	0	6.77263	7	0	0
0.414429	DL	41	4	0	5	1	3	0	18	114	0	1	0	54.3563	15	0	0
0.4145	DL	41	4	0	5	2	1	0	4	231	0	1	0	49.522	15	0	0
0.4145	DL	41	4	0	6	1	3	0	12	114	0	1	0	31.3276	15	0	0
0.414571	DL	41	4	0	7	1	3	0	11	114	0	1	0	16.1545	12	0	0
0.414643	DL	41	4	0	7	2	1	0	3	231	0	1	0	25.0173	14	0	0
0.414643	DL	41	4	0	8	1	3	0	10	114	0	1	0	27.5978	15	0	0
