Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.0179286	1	0	1	-129.922
0.0179286	1	0	2	-130.628
0.0179286	1	0	3	-104.773
0.0179286	1	0	4	-97.8331
0.0179286	1	0	5	-160.393
0.0179286	1	0	6	-119.146
0.0179286	1	0	7	-86.7638
0.0179286	1	0	8	-96.0161
0.0179286	1	0	9	-106.051
0.0179286	1	0	10	-106.856
0.0179286	1	0	11	-165.167
0.0179286	1	0	12	-141.927
0.0179286	1	0	13	-95.9166
0.0179286	1	0	14	-151.506
0.0179286	1	0	15	-180.148
0.0179286	1	0	16	-141.276
0.0179286	1	0	17	-118.194
0.0179286	1	0	18	-115.703
0.0179286	1	0	19	-91.1616
0.0179286	1	0	20	-162.509
0.0258571	1	0	4	-97.5396
0.0259286	1	0	13	-95.6514
0.0259286	1	0	14	-150.929
0.0259286	1	0	15	-180.224
0.0259286	1	0	16	-142.098
0.0259286	1	0	17	-118.025
0.0259286	1	0	18	-115.425
0.0259286	1	0	19	-91.3296
0.0259286	1	0	20	-162.295
0.0348571	1	0	7	-86.107
0.0368571	1	0	3	-105.203
0.0388571	1	0	5	-160.506
0.0438571	1	0	14	-151.709
0.0448571	1	0	20	-162.058
0.0458571	1	0	12	-141.544
0.0508571	1	0	15	-178.664
0.0528571	1	0	10	-106.917
0.0558571	1	0	16	-141.93
0.0588571	1	0	1	-128.59
0.0618571	1	0	9	-104.274
0.0638571	1	0	11	-165.89
0.0648571	1	0	2	-131.327
0.0678571	1	0	19	-92.6154
0.0898571	1	0	13	-96.5266
0.0948571	1	0	18	-113.731
0.0958571	1	0	6	-117.616
0.0988571	1	0	8	-97.0986
0.100857	1	0	17	-114.905
0.105857	1	0	4	-121.901
0.114857	1	0	7	-87.7032
0.115929	1	0	13	-113.895
0.115929	1	0	18	-104.309
0.115929	1	0	19	-91.2767
0.115929	1	0	10	-106.805
0.116857	1	0	3	-136.113
0.116929	1	0	13	-114.007
0.116929	1	0	18	-104.336
0.116929	1	0	19	-91.2902
0.116929	1	0	10	-106.869
0.116929	1	0	5	-160.714
0.117929	1	0	5	-160.735
0.117929	1	0	12	-141.609
0.117929	1	0	15	-176.594
0.117929	1	0	3	-136.075
0.118857	1	0	5	-160.363
0.118929	1	0	12	-141.644
0.118929	1	0	15	-176.744
0.118929	1	0	8	-115.83
0.118929	1	0	7	-87.4807
0.118929	1	0	16	-161.858
0.118929	1	0	3	-136.049
0.119929	1	0	8	-115.982
0.119929	1	0	7	-87.5206
0.119929	1	0	16	-162.071
0.119929	1	0	9	-148.211
0.119929	1	0	1	-128.097
0.119929	1	0	11	-122.486
0.120929	1	0	9	-148.332
0.120929	1	0	1	-128
0.120929	1	0	11	-122.643
0.120929	1	0	14	-153.633
0.121643	1	0	10	-106.517
0.121714	1	0	19	-91.0999
0.121786	1	0	18	-104.589
0.121857	1	0	13	-113.944
0.121929	1	0	14	-153.9
0.121929	1	0	5	-160.31
0.122929	1	0	5	-160.251
0.122929	1	0	15	-176.313
0.122929	1	0	12	-141.683
0.123786	1	0	3	-135.684
0.123857	1	0	14	-154.126
0.123929	1	0	15	-176.54
0.123929	1	0	12	-141.969
0.123929	1	0	16	-162.239
0.124714	1	0	8	-115.88
0.124786	1	0	7	-87.6713
0.124857	1	0	20	-160.121
0.124929	1	0	12	-142.092
0.124929	1	0	16	-162.16
0.124929	1	0	9	-148.713
0.125714	1	0	11	-122.56
0.125786	1	0	1	-127.834
0.125857	1	0	12	-141.969
0.125929	1	0	9	-148.803
0.125929	1	0	14	-154.527
0.126714	1	0	13	-114.11
0.126786	1	0	18	-104.466
0.126857	1	0	10	-106.797
0.126929	1	0	9	-148.773
0.126929	1	0	14	-154.411
0.126929	1	0	5	-160.479
0.127929	1	0	5	-160.387
0.127929	1	0	15	-176.608
0.128857	1	0	3	-135.557
0.128929	1	0	15	-176.921
0.128929	1	0	16	-161.91
0.129786	1	0	12	-141.51
0.129857	1	0	8	-116.4
0.129929	1	0	16	-162.151
0.129929	1	0	4	-121.688
0.129929	1	0	6	-139.67
0.129929	1	0	20	-160.087
0.129929	1	0	17	-114.461
0.129929	1	0	2	-131.856
0.130714	1	0	1	-127.707
0.130786	1	0	11	-121.996
0.130857	1	0	15	-177.27
0.130929	1	0	4	-121.582
0.130929	1	0	6	-139.633
0.130929	1	0	20	-159.825
0.130929	1	0	17	-114.524
0.130929	1	0	2	-131.67
0.130929	1	0	14	-154.656
0.131643	1	0	9	-149.014
0.131714	1	0	10	-106.885
0.131786	1	0	18	-104.556
0.131857	1	0	13	-114.147
0.131929	1	0	14	-154.794
0.131929	1	0	5	-160.501
0.132857	1	0	10	-106.838
0.132929	1	0	5	-160.618
0.132929	1	0	15	-177.786
0.133857	1	0	3	-135.091
0.133929	1	0	15	-177.826
0.133929	1	0	16	-162.659
0.134786	1	0	8	-117.048
0.134857	1	0	12	-141.62
0.134929	1	0	16	-162.661
0.134929	1	0	20	-160.141
0.135429	1	0	2	-132.188
0.1355	1	0	17	-114.537
0.135571	1	0	6	-139.659
0.135643	1	0	4	-122.064
0.135714	1	0	11	-122.078
0.135786	1	0	1	-127.559
0.135857	1	0	16	-162.801
0.135929	1	0	20	-160.083
0.135929	1	0	14	-154.44
0.136643	1	0	13	-114.339
0.136714	1	0	18	-105.085
0.136786	1	0	10	-107.082
0.136857	1	0	9	-148.663
0.136929	1	0	14	-154.358
0.138786	1	0	3	-135.111
0.138857	1	0	1	-128.064
0.139786	1	0	12	-141.616
0.139857	1	0	8	-117.29
0.139929	1	0	20	-159.398
0.1405	1	0	1	-128.301
0.140571	1	0	11	-122.512
0.140643	1	0	4	-121.871
0.140714	1	0	6	-139.604
0.140786	1	0	17	-114.264
0.140857	1	0	2	-132.379
0.140929	1	0	20	-159.366
0.141714	1	0	14	-155.033
0.141786	1	0	9	-149.064
0.141857	1	0	9	-149.075
0.143857	1	0	11	-122.722
0.144786	1	0	12	-141.43
0.144857	1	0	2	-132.338
0.144929	1	0	20	-158.622
0.145643	1	0	2	-132.065
0.145714	1	0	17	-113.991
0.145786	1	0	6	-139.467
0.145857	1	0	4	-122.147
0.145929	1	0	20	-158.794
0.146786	1	0	9	-148.918
0.146857	1	0	14	-155.019
0.146929	1	0	20	-158.944
0.146929	1	0	19	-91.6063
0.147857	1	0	19	-91.6223
0.147929	1	0	19	-91.6406
0.149929	1	0	7	-85.7784
0.150643	1	0	4	-121.572
0.150714	1	0	6	-139.622
0.150786	1	0	17	-114.037
0.150857	1	0	2	-131.673
0.150929	1	0	7	-85.5572
0.151786	1	0	20	-158.874
0.151857	1	0	14	-154.73
0.152857	1	0	19	-92.0231
0.155857	1	0	7	-85.8822
0.156786	1	0	14	-154.816
0.156857	1	0	20	-158.473
0.157857	1	0	19	-92.0929
0.161857	1	0	20	-158.222
0.161929	1	0	10	-106.676
0.161929	1	0	18	-104.412
0.162929	1	0	10	-106.5
0.162929	1	0	18	-104.35
0.166857	1	0	20	-157.803
0.167786	1	0	18	-104.32
0.167857	1	0	10	-106.91
0.169857	1	0	13	-112.74
0.172786	1	0	10	-106.928
