% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.018	1	0	0	12	2	2	0	1	1	0	1	0	0	114
0.018	1	0	0	11	2	2	0	2	1	0	1	0	0	114
0.018	1	0	0	10	2	2	0	3	1	0	1	0	0	114
0.018	1	0	0	9	2	2	0	4	1	0	1	0	0	114
0.018	1	0	0	8	2	2	0	5	1	0	1	0	0	114
0.018	1	0	0	7	2	2	0	6	1	0	1	0	0	114
0.018	1	0	0	6	2	2	0	7	1	0	1	0	0	114
0.018	1	0	0	5	2	2	0	8	1	0	1	0	0	114
0.018	1	0	0	4	2	2	0	9	1	0	1	0	0	114
0.018	1	0	0	3	2	2	0	10	1	0	1	0	0	114
0.018	1	0	0	2	2	2	0	11	1	0	1	0	0	114
0.018	1	0	0	1	2	2	0	12	1	0	1	0	0	114
0.026	1	0	0	28	3	0	0	5	1	0	1	0	0	114
0.026	1	0	0	27	3	0	0	6	1	0	1	0	0	114
0.026	1	0	0	26	3	0	0	7	1	0	1	0	0	114
0.026	1	0	0	25	3	0	0	8	1	0	1	0	0	114
0.026	1	0	0	24	3	0	0	9	1	0	1	0	0	114
0.026	1	0	0	23	3	0	0	10	1	0	1	0	0	114
0.026	1	0	0	22	3	0	0	11	1	0	1	0	0	114
0.026	1	0	0	21	3	0	0	12	1	0	1	0	0	114
0.117	1	0	0	10	12	1	0	9	1	15	1	0	0	114
0.117	1	0	0	27	12	1	0	10	1	15	1	0	0	114
0.117	1	0	0	26	12	1	0	11	1	15	1	0	0	114
0.117	1	0	0	21	12	1	0	12	1	15	1	0	0	114
0.119	1	0	0	3	12	3	0	11	1	15	1	0	0	114
0.12	1	0	0	8	12	4	0	10	1	15	1	0	0	114
0.12	1	0	0	7	12	4	0	11	1	15	1	0	0	114
0.121	1	0	0	11	12	5	0	10	1	15	1	0	0	114
0.121	1	0	0	1	12	5	0	11	1	15	1	0	0	114
0.122	1	0	0	21	12	6	0	10	1	15	0	1	0	114
0.122	1	0	0	26	12	6	0	11	1	15	0	1	0	114
0.122	1	0	0	10	12	6	0	12	1	15	0	1	0	114
0.124	1	0	0	3	12	8	0	12	1	15	0	1	0	114
0.125	1	0	0	12	12	9	0	11	1	15	1	0	0	114
0.125	1	0	0	8	12	9	0	12	1	15	0	1	0	114
0.126	1	0	0	1	13	0	0	10	1	15	0	1	0	114
