time(s)	cellId	rnti	lcid	packetSize
0.411	1	1	3	1401
0.411	3	1	3	1401
0.412	1	1	3	1401
0.412	3	1	3	1401
0.413	1	1	3	1401
0.413	3	1	3	1401
0.414	1	1	3	1401
0.414	3	1	3	1401
0.415	1	1	3	1401
0.415	3	1	3	1401
0.416	1	1	3	1401
0.416	3	1	3	1401
0.417	1	1	3	21022
0.417	3	1	3	48353
0.418	1	1	3	21022
0.418	3	1	3	48353
0.419	1	1	3	21022
0.419	3	1	3	32743
0.42	1	1	3	21022
0.42	3	1	3	15316
0.421	1	1	3	21022
0.421	3	1	3	15316
0.422	1	1	3	21022
0.422	3	1	3	15316
0.423	1	1	3	21022
0.423	3	1	3	15316
0.424	1	1	3	21022
0.424	3	1	3	15316
0.425	1	1	3	48353
0.425	3	1	3	15316
0.426	1	1	3	20140
0.426	3	1	3	15316
0.427	1	1	3	15316
0.427	3	1	3	15316
0.428	1	1	3	15316
0.428	3	1	3	15316
0.429	1	1	3	15316
0.429	3	1	3	15316
0.43	1	1	3	15316
0.43	3	1	3	15316
0.431	1	1	3	15316
0.431	3	1	3	15316
0.432	3	1	3	15316
0.433	3	1	3	15316
0.434	3	1	3	15316
0.435	3	1	3	15316
0.436	3	1	3	15316
0.437	1	1	3	21022
0.437	3	1	3	15316
0.438	1	1	3	48353
0.438	3	1	3	15316
0.439	1	1	3	48353
0.439	3	1	3	15316
0.44	1	1	3	20115
0.44	3	1	3	15316
0.441	1	1	3	15316
0.441	3	1	3	15316
0.442	1	1	3	15316
0.442	3	1	3	15316
0.443	1	1	3	15316
0.443	3	1	3	15316
0.444	1	1	3	15316
0.444	3	1	3	15316
0.445	1	1	3	15316
0.445	3	1	3	15316
0.446	3	1	3	15316
0.447	3	1	3	15316
0.448	3	1	3	15316
0.449	3	1	3	15316
0.45	3	1	3	15316
0.451	1	1	3	21022
0.451	3	1	3	15316
0.452	1	1	3	48353
0.452	3	1	3	15316
0.453	1	1	3	48353
0.453	3	1	3	15316
0.454	1	1	3	20115
0.454	3	1	3	15316
0.455	1	1	3	15316
0.455	3	1	3	15316
0.456	1	1	3	15316
0.456	3	1	3	15316
0.457	1	1	3	15316
0.457	3	1	3	15316
0.458	1	1	3	15316
0.458	3	1	3	15316
0.459	1	1	3	15316
0.459	3	1	3	15316
0.46	3	1	3	15316
0.461	3	1	3	15316
0.462	3	1	3	15316
0.463	3	1	3	15316
0.464	3	1	3	15316
0.465	1	1	3	21022
0.465	3	1	3	15316
0.466	1	1	3	48353
0.466	3	1	3	15316
0.467	1	1	3	48353
0.467	3	1	3	15316
0.468	1	1	3	20115
0.468	3	1	3	15316
0.469	1	1	3	15316
0.469	3	1	3	15316
0.47	1	1	3	15316
0.47	3	1	3	15316
0.471	1	1	3	15316
0.471	3	1	3	15316
0.472	1	1	3	15316
0.472	3	1	3	15316
0.473	1	1	3	15316
0.473	3	1	3	15316
0.474	3	1	3	15316
0.475	3	1	3	15316
0.476	3	1	3	15316
0.477	3	1	3	15316
0.478	3	1	3	15316
0.479	1	1	3	21022
0.479	3	1	3	15316
0.48	1	1	3	48353
0.48	3	1	3	15316
0.481	1	1	3	48353
0.481	3	1	3	15316
0.482	1	1	3	20115
0.482	3	1	3	15316
0.483	1	1	3	15316
0.483	3	1	3	15316
0.484	1	1	3	15316
0.484	3	1	3	15316
0.485	1	1	3	15316
0.485	3	1	3	15316
0.486	1	1	3	15316
0.486	3	1	3	15316
0.487	1	1	3	15316
0.487	3	1	3	15316
0.488	3	1	3	15316
0.489	3	1	3	15316
0.49	3	1	3	15316
0.491	3	1	3	15316
0.492	3	1	3	15316
0.493	1	1	3	21022
0.493	3	1	3	15316
0.494	1	1	3	48353
0.494	3	1	3	15316
0.495	1	1	3	48353
0.495	3	1	3	15316
0.496	1	1	3	20115
0.496	3	1	3	15316
0.497	1	1	3	15316
0.497	3	1	3	15316
0.498	1	1	3	15316
0.498	3	1	3	15316
0.499	1	1	3	15316
0.499	3	1	3	15316
0.5	1	1	3	15316
0.5	3	1	3	15316
0.501	1	1	3	15316
0.501	3	1	3	15316
0.502	3	1	3	15316
0.503	3	1	3	15316
0.504	3	1	3	15316
0.505	3	1	3	15316
0.506	3	1	3	15316
0.507	1	1	3	21022
0.507	3	1	3	15316
0.508	1	1	3	48353
0.508	3	1	3	15316
0.509	1	1	3	48353
0.509	3	1	3	15316
0.51	1	1	3	20115
0.51	3	1	3	15316
0.511	1	1	3	15316
0.511	3	1	3	15316
0.512	1	1	3	15316
0.512	3	1	3	15316
0.513	1	1	3	15316
0.513	3	1	3	15316
0.514	1	1	3	15316
0.514	3	1	3	15316
0.515	1	1	3	15316
0.515	3	1	3	15316
0.516	3	1	3	15316
0.517	3	1	3	15316
0.518	3	1	3	15316
0.519	3	1	3	15316
0.52	3	1	3	15316
0.521	1	1	3	21022
0.521	3	1	3	15316
0.522	1	1	3	48353
0.522	3	1	3	15316
0.523	1	1	3	48353
0.523	3	1	3	15316
0.524	1	1	3	20115
0.524	3	1	3	15316
0.525	1	1	3	15316
0.525	3	1	3	15316
0.526	1	1	3	15316
0.526	3	1	3	15316
0.527	1	1	3	15316
0.527	3	1	3	15316
0.528	1	1	3	15316
0.528	3	1	3	15316
0.529	1	1	3	15316
0.529	3	1	3	15316
