Time	CellId	RNTI	BWPId	SINR(dB)
0.413143	1	7	0	8.6318
0.413143	3	22	0	-4.23221
0.413214	1	6	0	24.6697
0.413214	3	21	0	40.5112
0.413286	3	20	0	32.5305
0.413357	1	5	0	14.8675
0.413357	3	19	0	5.90642
0.413429	3	18	0	54.068
0.4135	1	4	0	49.4904
0.4135	3	12	0	31.2384
0.413571	3	11	0	16.1825
0.413643	1	3	0	30.3143
0.413643	3	10	0	27.9797
0.413714	3	9	0	8.37478
0.413786	1	2	0	51.9755
0.413786	3	8	0	24.4712
0.413857	3	7	0	48.5712
0.413929	1	1	0	14.1822
0.414143	1	7	0	8.70921
0.414143	3	22	0	-5.55311
0.414214	1	6	0	25.017
0.414214	3	21	0	40.7497
0.414286	3	20	0	32.8679
0.414357	1	5	0	14.5679
0.414357	3	19	0	6.77263
0.414429	3	18	0	54.3563
0.4145	1	4	0	49.522
0.4145	3	12	0	31.3276
0.414571	3	11	0	16.1545
0.414643	1	3	0	25.0173
0.414643	3	10	0	27.5978
0.414714	3	9	0	8.53269
0.414786	1	2	0	52.3246
0.414786	3	8	0	24.3431
0.414857	3	7	0	48.4631
0.414929	1	1	0	13.4594
0.415143	1	7	0	8.83806
0.415143	3	22	0	-3.59234
0.415214	1	6	0	25.438
0.415214	3	21	0	40.9128
0.415286	1	5	0	14.921
0.415286	3	20	0	32.568
0.415357	3	19	0	7.20903
0.415429	1	4	0	49.2052
0.415429	3	18	0	53.9288
0.4155	3	12	0	32.6775
0.415571	1	3	0	32.2883
0.415571	3	11	0	16.3257
0.415643	3	10	0	25.662
0.415714	1	2	0	48.2002
0.415714	3	9	0	8.69548
0.415786	3	8	0	25.2734
0.415857	1	1	0	13.5808
0.415857	3	7	0	48.5765
0.415929	3	6	0	23.9965
0.416143	1	7	0	8.73732
0.416143	3	22	0	-4.65898
0.416214	1	6	0	25.8162
0.416214	3	21	0	40.8553
0.416286	3	20	0	32.8757
0.416357	1	5	0	14.6126
0.416357	3	19	0	6.32498
0.416429	3	18	0	54.4359
0.4165	1	4	0	49.0335
0.4165	3	12	0	31.2927
0.416571	3	11	0	15.9728
0.416643	1	3	0	30.896
0.416643	3	10	0	27.6952
0.416714	3	9	0	8.77655
0.416786	1	2	0	51.8919
0.416786	3	8	0	24.8688
0.416857	3	7	0	48.6642
0.416929	1	1	0	12.7653
0.416929	3	6	0	-0.326893
0.417143	1	7	0	8.24374
0.417143	3	22	0	-3.74822
0.417214	1	6	0	25.5963
0.417214	3	21	0	40.8035
0.417286	3	20	0	32.5507
0.417357	1	5	0	14.5041
0.417357	3	19	0	6.75132
0.417429	3	18	0	54.8042
0.4175	1	4	0	49.0989
0.4175	3	12	0	31.2174
0.417571	3	11	0	15.7773
0.417643	1	3	0	30.5668
0.417643	3	10	0	26.8516
0.417714	3	9	0	8.88562
0.417786	1	2	0	52.18
